"Year","ID","Date","Duration","total_diveN_annotated","mean_maxdep","surfacePCE","divingPCE","totalPCE","foraging_video","nonforaging_video"
"2022",1,2022-01-10,3.74,103,5.82,611,731,1342,90,13
"2022",2,2022-01-10,1.77,46,8.77,0,0,0,0,46
"2022",3,2022-01-13,3.41,200,8.86,630,1513,2143,170,30
"2022",4,2022-01-07,3.21,78,12.08,3,30,33,17,61
"2022",5,2022-01-08,4.76,145,12.09,514,1500,2014,103,42
"2022",6,2022-01-10,2.85,122,12.98,686,1260,1946,74,48
"2022",7,2022-01-10,0.68,10,14.8,0,29,29,1,9
"2022",8,2022-01-07,4.89,74,15.69,9,605,614,42,32
"2022",9,2022-01-20,4.66,69,18.09,4,42,46,13,56
"2022",10,2022-01-20,4.04,39,19.76,0,190,190,14,25
"2022",11,2022-01-13,2.67,43,20.5,7,46,53,14,29
"2022",12,2022-01-20,1.4,25,20.75,0,48,48,6,19
"2022",13,2022-01-16,5.25,40,21.88,26,79,105,15,25
"2022",14,2022-01-20,4.3,60,22.09,7,943,950,30,30
"2022",15,2022-01-13,5.58,151,22.59,34,234,268,74,77
"2022",16,2022-01-16,3.02,29,23.67,0,59,59,8,21
"2022",17,2022-01-13,4.92,88,24.4,3,155,158,28,60
"2022",18,2022-01-16,2.7,29,24.44,0,27,27,10,19
"2022",19,2022-01-16,2.26,14,24.75,0,25,25,6,8
"2022",20,2022-01-14,5.33,52,24.96,1,45,46,14,38
"2022",21,2022-01-16,4.12,78,30.03,3,582,585,34,44
"2022",22,2022-01-16,4.89,86,31.73,0,153,153,44,42
"2022",23,2022-01-13,1.4,33,40.73,13,634,647,30,3
"2022",24,2022-01-22,5.06,76,59.74,18,1918,1936,56,20
"2022",25,2022-01-14,2.84,52,64.33,0,1238,1238,36,16
"2023",26,2023-01-14,4.4,68,12.07,0,17,17,10,58
"2023",27,2023-01-15,3.68,23,23.33,0,253,253,8,15
"2023",28,2023-01-17,2.98,37,27.61,0,148,148,11,26
"2023",29,2023-01-14,1.75,20,28.03,0,46,46,5,15
"2023",30,2023-01-21,3.16,29,32.38,0,171,171,16,13
"2023",31,2023-01-23,4.88,128,33.88,0,993,993,87,41
"2023",32,2023-01-21,2.18,43,36.74,2,413,415,36,7
"2023",33,2023-01-21,4.16,109,37.96,0,1073,1073,61,48
"2023",34,2023-01-14,5.83,111,44.05,0,978,978,78,33
"2023",35,2023-01-17,5.33,93,46.64,0,875,875,63,30
"2023",36,2023-01-17,3.01,42,53.91,0,279,279,21,21
"2023",37,2023-01-14,0.97,13,56.48,0,181,181,9,4
